,,,,,, ,,Updated on:,8/13/2026 1:26 PM,,,5957,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date,,
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,269458821,ETA 9/1,#138,144,HEB 57X340372,728.64,Apr-27,,
20150,CACIOTTA BLACK TRUFFLES 6 LBS,150,,,,average purchase TONY 55 per month,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,#68,,,359.04,10/22/2026,,
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38,38,exp,572.64,01/15/2026,,
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,63,,,,"15x Greg monthly plan, we monitor",,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72,72,exp,1086.98,01/15/2026,,
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,-660,,,,TJ preorder,,20438,PROVOLONE CYLINDER CHEESE,1316555,08/06/2026,72,,Dekalb/stock,1058.06,03/12/2027,,
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,160726205,ETA 8/25,#72,72,Veroni 19-26C,"1,074.74",Mar-27,,
20229,CACIOTTA HERBS 1.2 LBS,27,,,,10-15x monthly plan Cowbell,,20438,PROVOLONE CYLINDER CHEESE,160726205,ETA 8/25,#72,72,Veroni 19-26C,"1,059.07",Mar-27,,
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,20438,PROVOLONE CYLINDER CHEESE,160726205,ETA 8/25,#72,72,Veroni 19-26C,"1,062.10",Mar-27,,
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,290726222,ETA 9/1,#72,72,Veroni 22-26C,"1,052.65",Apr-27,,
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,72,,,,HEB 1 pallet + something small for Lettieri,,20438,PROVOLONE CYLINDER CHEESE,290726222,ETA 9/1,#72,72,Veroni 22-26C,"1,044.55",Apr-27,,
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,0,,,,we don't have project right now,,20438,PROVOLONE CYLINDER CHEESE,290726222,ETA 9/1,#72,72,Veroni 22-26C,"1,040.97",Apr-27,,
20438,PROVOLONE CYLINDER CHEESE,-360,,,,"1 pallet available for Stock, Veroni preorder",,20450,BRA TENERO PDO CHEESE,1316582,08/06/2026,6,,Spec Merch of FL,94.97,01/11/2027,,
20450,BRA TENERO SOFT,6,,,,Specialty Merchants ,,20453,RASCHERA PDO CHEESE,1316580,08/06/2026,6,,Spec Merch of FL,108.34,01/11/2027,,1
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,20464,ALTA BADIA CHEESE WHOLE WHEEL,1312797,07/23/2026,20,,,429.83,02/13/2027,,
20452,TOMA,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,23,23,exp,121.44,09/08/2026,,
20453,RASCHERA PIEMONTESE DOP,6,,,,Specialty Merchants ,,20480,CACIOTTA MNT HERBS 7 OZ EW,1318260,08/13/2026,144,144,HEB 57X331093,760.32,04/04/2027,,
20464,ALTA BADIA,20,,,,"few quantities is fine, do we have <20? Specialty Merchants/CowBell/DiPalo",,20480,CACIOTTA MNT HERBS 7 OZ EW,269500522,ETA 8/25,#127,127,HEB 57X340372,670.56,Mar-27,,
20480,CACIOTTA MNT HERBS 7 OZ EW,-127,,,,,,20480,CACIOTTA MNT HERBS 7 OZ EW,269458807,ETA 9/1,#141,,,744.48,Apr-27,,
20481,CACIOTTA PEPATO 7 OZ EW,12,,,,,,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,12,,,63.36,12/16/2026,,
20511,FONTAL 1/4 WHEEL,-80,,,,Lettieri,,20511,FONTAL CHEESE 1/4 WHEEL,269458805,ETA 9/1,#240,80,DIPALO HOLIDAY,"1,482.13",Apr-27,,
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,42,,,,<15?,,20511,FONTAL CHEESE 1/4 WHEEL,269458804,ETA 9/1,#240,,,"1,484.18",Apr-27,,
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,28,,,,<10? Cheese importers wants stock consistent? (45),,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,42,,,128.169,07/15/2027,,
