,,,,,, ,,Updated on:,9/17/2026 10:51,,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avail,Exp Date,
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,352,,,,HEB 1 pallet + something small for Lettieri,,20520,TALEGGIO CHEESE PDO WHOLE WHEEL,6511,ETA 10/08,60,,,302.58,Sep-27,
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,115,,,,we don't have project right now,,20533,AGED TRUFFLE CHEESE BLACK,1328694,09/24/2026,120,,,618.03,04/30/2027,
20438,PROVOLONE CYLINDER CHEESE,229,,,,"1 pallet available for Stock, Veroni preorder",,20533,AGED TRUFFLE CHEESE BLACK,1324232,09/04/2026,120,,,604.02,04/08/2027,
20450,BRA TENERO SOFT,6,,,,Specialty Merchants ,,20533,AGED TRUFFLE CHEESE BLACK,1316590,08/06/2026,57,,,289.34,03/12/2027,
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,269381443,ETA 10/08,240,,,"1,277.40",May-27,
20452,TOMA,0,,,,not interesting for the stock,,20568,BIANCO D'ITALIA 1/4 WHEEL (IT),L2532611,ETA 10/08,100,,,"2,043.30",Sep-27,
20453,RASCHERA PIEMONTESE DOP,6,,,,Specialty Merchants ,,20584,STELVIO PDO CHEESE WHOLE WHEEL,1328702,09/24/2026,30,,,637.24,04/29/2027,
20464,ALTA BADIA,21,,,,"few quantities is fine, do we have <20? Specialty Merchants/CowBell/DiPalo",,20584,STELVIO PDO CHEESE WHOLE WHEEL,1312762,07/23/2026,9,,,195.792,02/13/2027,
20480,CACIOTTA MNT HERBS 7 OZ EW,259,,,,,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1312770,07/23/2026,30,,,391.58,06/17/2027,
20481,CACIOTTA PEPATO 7 OZ EW,55,,,,,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,16,,,203.524,05/07/2027,
20511,FONTAL 1/4 WHEEL,438,,,,Lettieri,,30014,APERICHEESE YELLOW,1320523,08/21/2026,4,,,10.58,12/11/2026,
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,32,,,,<15?,,30015,APERICHEESE RED,1320524,08/21/2026,5,,,13.22,12/11/2026,
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,60,,,,<10? Cheese importers wants stock consistent? (45),,40104,PECORINO ROMANO PDO 1/4 WHEEL,269381447,ETA 10/08,45,,,575.95,May-27,
20533,AGED TRUFFLE CHEESE BLACK,537,,,,News about production? Baldor,,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,10,,,306.17,04/10/2027,
20569,BIANCO D'ITALIA 1/4 WHEEL (EU),0,,,,Cowbell,,40107,PIAVE MEZZANO PDO WHOLE WHEEL,1328689,09/24/2026,13,,,182.88,08/28/2027,
20568,BIANCO D'ITALIA 1/4 WHEEL (IT),100,,,,Cowbell,,40107,PIAVE MEZZANO PDO WHOLE WHEEL,635181245,ETA 10/08,30,,,426.51,Sep-27,
20584,STELVIO PDO CHEESE WHOLE WHEEL,39,,,,<30?,,40109,PIAVE VECCHIO PDO > 6 MONTHS,1328710,09/24/2026,10,,,142.266,08/28/2027,
20586,LAGREIN,0,,,,not interesting for the stock,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,1308186,07/03/2026,11,,,150.696,02/04/2027,
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,269381403,ETA 10/08,30,,,398.04,May-27,
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,40158,PIAVE VECCHIO PDO >12 MONTHS,635183258,ETA 10/08,60,,DI PALO HOLIDAY,745.59,Sep-27,
20702,PECORINO CURRY,0,,,,not interesting for the stock,,40169,RICOTTA SALATA V.P.,1324247,09/04/2026,6,,,92.15,05/08/2027,
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,40174,PECORINO TOSCANO PDO WW,1322669,09/01/2026,80,,,780.06,03/18/2027,
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,71,,,578.845,02/04/2027,
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,40175,AGED PECORINO TOSCANO PDO WW,TS225129,ETA 10/08,40,,,455.76,Dec-26,
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,01032,SHARP PROVOLONE,1328709,09/24/2026,33,,,480.72,04/30/2027,
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,46,,,,keep 25 in stock,,01034,SMOKED PROVOLONE 4.4 LBS,"040926257, 050926257",ETA 10/08,72,,SK PO 0286755,"1,442.99",Feb-27,
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,01034,SMOKED PROVOLONE 4.4 LBS,50926257,ETA 10/08,72,,SK PO 0286755,"1,450.88",Feb-27,
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,01034,SMOKED PROVOLONE 4.4 LBS,"110926257, 120926258",ETA 10/08,72,,SK PO 0286755,"1,459.74",Feb-27,
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,01034,SMOKED PROVOLONE 4.4 LBS,120926258,ETA 10/08,65,,SK PO 0286755,"1,350.68",Feb-27,
30014,APERICHEESE YELLOW ,4,,,,product ready? NEW,,01186,SMOKED PROVOLONE CYLINDER,1324268,09/04/2026,72,72,Veroni 23-26C,"1,028.10",04/07/2027,
30015,APERICHEESE RED,5,,,,product ready? NEW,,01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,1324241,09/04/2026,10,,,199.94,04/09/2027,
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,01299,MILD PROVOLONE STICK,1328712,09/24/2026,72,72,Levoni 10/20 delivery,"1,036.08",01/30/2027,
