,,,,,, ,,Updated on:,25 June 2026 12:05,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avai,Exp Date
40104,PECORINO ROMANO PDO 1/4 WHEEL,71,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269618408,ETA 7/2,104,,,"2,182.45",Jan-27
40105,PECORINO GRANGLONA CHEESE,22,,,,Selected,,05007,GRANA PADANO PDO 1/8 WHEEL,269618405,ETA 7/2,104,,,"2,149.43",Jan-27
40107,PIAVE MEZZANO PDO WHOLE WHEEL,18,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296216,05/15/2026,16,,Selected,673.23,12/16/2026
40109,PIAVE VECCHIO PDO > 6 MONTHS,23,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296217,05/15/2026,16,,Selected,673.23,12/16/2026
40130,MONTASIO CHEESE PDO 1/4 WHEEL,30,,,,main Customer Ace Endico,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1290745,04/24/2026,48,,,1107.112,03/27/2027
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1304215,06/18/2026,99,,,2181.3,05/18/2027
40158,PIAVE VECCHIO PDO > 12 MONTHS,0,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1166621,01/23/2025,10,,,905.14,12/05/2025
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1285651,04/03/2026,30,,,2720.83,03/06/2027
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1296215,05/15/2026,13,,CowBell monthly plan,1070.446,04/15/2027
40169,RICOTTA SALATA V.P.,8,,,,Main customer DeKalb,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1304211,06/18/2026,30,,,2471.04,05/07/2027
40174,PECORINO TOSCANO PDO WW,71,,,,Selected ,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,623115206,ETA 7/2,30,,,"2,484.11",Jun-27
40175,PECORINO TOSCANO PDO WW AGED,17,,,,Selected ,,,,,,,,,,
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,,,,,,,,,
